Tag,Label
3249,Taxonomy2 § Demographic § Children § Pre-school
3250,Taxonomy2 § Demographic § Children § School-age
3558,Taxonomy2 § Interests § Auto
3570,Taxonomy2 § Interests § Current Affairs
3586,Taxonomy2 § Interests § Current Affairs § Politics
3588,Taxonomy2 § Interests § Entertainment § Art
3594,Taxonomy2 § Interests § Entertainment § Art § Museum
3601,Taxonomy2 § Interests § Entertainment § Concerts § Gig
3602,Taxonomy2 § Interests § Entertainment § Cooking
3605,Taxonomy2 § Interests § Entertainment § Film § Channel § Cinema
3628,Taxonomy2 § Interests § Entertainment § Books
3632,Taxonomy2 § Interests § Entertainment § Music
3647,Taxonomy2 § Interests § Entertainment § Newspapers
3652,Taxonomy2 § Interests § Entertainment § Nightlife § Pubs/Bars
3654,Taxonomy2 § Interests § Entertainment § Theatre
3661,Taxonomy2 § Interests § Entertainment § TV
3684,Taxonomy2 § Interests § Family
3685,Taxonomy2 § Interests § Fashion
3732,Taxonomy2 § Interests § Health & Wellbeing § Fitness
3747,Taxonomy2 § Interests § Outdoor Activities § Hiking
3759,Taxonomy2 § Interests § Shopping
3910,Taxonomy2 § Interests § Sport
3932,Taxonomy2 § Interests § Sport § Football
3953,Taxonomy2 § Interests § Sport § Water Sports § Surfing
3971,Taxonomy2 § Interests § Travel
4096,Taxonomy2 § Intent  § Purchase § Automotive
4118,Taxonomy2 § Intent  § Purchase § Clothing & Accessories
4168,Taxonomy2 § Intent  § Purchase § Jewelry & Watches
4193,Taxonomy2 § Intent  § Purchase § Technology § Cell Phone & PDA § Brand § Apple
4200,Taxonomy2 § Intent  § Purchase § Technology § Computer
4210,Taxonomy2 § Intent  § Purchase § Technology § Consumer Electronics § TV
4224,Taxonomy2 § Intent  § Purchase § Travel
4255,Taxonomy2 § Intent  § Purchase § Travel § Air Travel
4485,Taxonomy2 § Interests § Technology § Computers
4523,Taxonomy3 § Content § Sections
4530,Taxonomy2 § Interests § Technology § Computers § Use § Gaming
4632,Taxonomy2 § Interests § Food
4730,Taxonomy2 § Interests § Entertainment § Magazines
4937,Taxonomy2 § Interests § Food & Drink
4955,Taxonomy2 § Intent  § Purchase § Food & Drink § Dining Out
4962,Taxonomy2 § Intent  § Purchase § Tickets § Gig
5553,Taxonomy2 § Interests § Technology § Computers § Type § iPad
5603,Taxonomy2 § Interests § Technology § Computers § Type § Laptop
5604,Taxonomy2 § Intent  § Purchase § Technology § Computer § iPad
5624,Taxonomy2 § segments § DFP § Travel § Family Travellers
5625,Taxonomy2 § segments § DFP § Entertainment § Magazine Buyers
5626,Taxonomy2 § segments § DFP § Entertainment § Video Gamers
5627,Taxonomy2 § segments § DFP § Entertainment § Football Enthusiasts
5633,Taxonomy2 § segments § DFP § Health & Wellbeing § Good Living Gurus
5635,Taxonomy2 § segments § DFP § Entertainment § Art Lovers
5636,Taxonomy2 § segments § DFP § Entertainment § Movie Enthusiasts
